# HKSCS-2016 official input overlay (authoritative, generated).
# Every HKSCS Han record, with only official Quick code and toneless
# Jyutping readings. Blank route fields mean no official input mapping.
# Fields: chinese, code_point, quick_code, jyutping.
chinese,code_point,quick_code,jyutping
𢱕,U+22C55,qj,dap
𢱢,U+22C62,qf,sok;saak
𢲈,U+22C88,qe,kik
𢲛,U+22C9B,qo,tou
𢲡,U+22CA1,qq,laa;naa
𢲩,U+22CA9,qe,kap
𢲲,U+22CB2,ql,long
𢲷,U+22CB7,qk,aau;ngaau
𢳂,U+22CC2,qj,bat;pat
𢳆,U+22CC6,qk,ngou;ou
𢳉,U+22CC9,vq,keoi
𢴇,U+22D07,qi,zap
𢴈,U+22D08,qm,daat
𢴒,U+22D12,qf,paang
𢵄,U+22D44,qa,cou
𢵌,U+22D4C,qo,deoi
𢵧,U+22D67,qa,gaan;haan
𢶍,U+22D8D,qm,saap
𢶕,U+22D95,qf,zin
𢶠,U+22DA0,qb,saau
𢶣,U+22DA3,qm,dip
𢶤,U+22DA4,qp,loe
𢶷,U+22DB7,qq,co
𢷮,U+22DEE,qi,deoi
𢸍,U+22E0D,qv,zan
𢸶,U+22E36,qe,cyut
𢹂,U+22E42,qs,kwai
𢹸,U+22E78,qe,cung
𢺋,U+22E8B,tq,naan;laan
𢺳,U+22EB3,qi,maan
𢻯,U+22EEF,od,hok
𢽴,U+22F74,mk,duk
𢿌,U+22FCC,ne,hing
𢿣,U+22FE3,ge,hiu
𣀳,U+23033,sk,nip;lip
𣁄,U+23044,yq,geoi
𣁋,U+2304B,uk,mei
𣁦,U+23066,yg,pun
𣁽,U+2307D,hj,fui
𣁾,U+2307E,yj,dau
𣂎,U+2308E,ej,mun
𣂷,U+230B7,tl,kan
𣂼,U+230BC,tl,kan
𣃚,U+230DA,yn,hong
𣄃,U+23103,yc,kei
𣄽,U+2313D,na,doek
𣅽,U+2317D,au,pui
𣆂,U+23182,ai,jyun
𣆤,U+231A4,fa,fong
𣆥,U+231A5,fa,fong
𣆳,U+231B3,ak,gang
𣇈,U+231C8,au,hiu
𣇉,U+231C9,ar,gwan
𣇪,U+231EA,af,jiu
𣇷,U+231F7,as,fong
𣇸,U+231F8,ja,ceon
𣇹,U+231F9,ea,man
𣈏,U+2320F,aa,sik
𣈥,U+23225,an,tou
𣈯,U+2322F,an,jyu
𣈱,U+23231,lh,coeng
𣈲,U+23232,au,mei
𣈳,U+23233,as,min
𣈴,U+23234,aw,miu
𣉖,U+23256,am,hyun;syun
𣉞,U+2325E,ab,gou;hou
𣉢,U+23262,ad,mai
𣊁,U+23281,ga,ngou;ou
𣊉,U+23289,ai,gei
𣊊,U+2328A,am,hou
𣊫,U+232AB,aa,luk
𣊬,U+232AC,aq,seon
𣊭,U+232AD,aa,luk
𣋒,U+232D2,ak,kwai
𣋠,U+232E0,ax,cai
𣋡,U+232E1,ao,mung
𣌀,U+23300,as,hei
𣌊,U+2330A,ae,haa
𣌟,U+2331F,am,ling
𣎴,U+233B4,mf,dan;nip;lip
𣏌,U+233CC,du,zi
𣏞,U+233DE,du,jau
𣏦,U+233E6,fd,muk
𣏴,U+233F4,dm,jan
𣏵,U+233F5,dm,naam;laam
𣏹,U+233F9,df,zoi
𣏺,U+233FA,du,hung
𣏾,U+233FE,di,dak
𣐀,U+23400,dk,man
𣐿,U+2343F,dv,ji
𣑐,U+23450,db,diu
𣑯,U+2346F,do,tou
𣑲,U+23472,db,pui
𣓥,U+234E5,ed,jau
𣔙,U+23519,do,him;hin
𣔰,U+23530,do,zi
𣕑,U+23551,dd,co
𣕚,U+2355A,dh,mau
𣕧,U+23567,dd,gaa
𣖕,U+23595,dt,peng
𣖙,U+23599,dk,mei
𣖜,U+2359C,db,wai
𣖻,U+235BB,dt,hoi
𣗍,U+235CD,dc,kei
𣗎,U+235CE,dg,cyun
𣗏,U+235CF,dj,fung
𣗳,U+235F3,di,syu
𣘀,U+23600,dh,sau
𣘗,U+23617,dr,nat
𣘚,U+2361A,dj,seot
𣘼,U+2363C,id,kai
𣙀,U+23640,di,zap
𣙙,U+23659,dk,cuk
𣙟,U+2365F,db,soeng
𣙷,U+23677,dt,mong
𣚎,U+2368E,df,leoi
𣚞,U+2369E,dr,jim;sim;jam
𣚦,U+236A6,di,koeng;goeng
𣚭,U+236AD,dd,guk
𣚺,U+236BA,jy,hong
𣛟,U+236DF,dq,zoeng
𣛮,U+236EE,dt,sing
𣜃,U+23703,df,jau
𣜖,U+23716,dm,dip
𣜠,U+23720,df,hei
𣜭,U+2372D,df,zin
𣜯,U+2372F,dm,hyun
𣜿,U+2373F,dd,jip
𣝦,U+23766,dj,ceoi
𣞁,U+23781,dd,wing
𣞢,U+237A2,df,ze
𣞼,U+237BC,dv,joeng
𣟂,U+237C2,di,fun
𣟕,U+237D5,dd,san
𣟖,U+237D6,dr,mo
𣟗,U+237D7,dt,ji
𣠺,U+2383A,do,cip
𣧂,U+239C2,mk,laai
𣪧,U+23AA7,he,jan
𣫛,U+23ADB,ye,ngai;ai
𣫮,U+23AEE,ni,hou
𣫺,U+23AFA,ob,juk
𣬚,U+23B1A,ni,paak
𣭚,U+23B5A,hu,bou
𣱣,U+23C63,od,kwan
𣲙,U+23C99,ee,zeoi
𣲚,U+23C9A,em,jan
𣲛,U+23C9B,he,sing
𣲵,U+23CB5,ec,zi
𣲷,U+23CB7,ee,nap;lap
𣳇,U+23CC7,em,zo
𣳈,U+23CC8,eu,sin
𣳉,U+23CC9,ec,si
𣳼,U+23CFC,ed,doe
𣳽,U+23CFD,eb,pui
𣳾,U+23CFE,fe,taai
𣳿,U+23CFF,ed,jyu
𣵀,U+23D40,em,nit;lit
𣵛,U+23D5B,es,sau
𣵾,U+23D7E,em,gwai
𣶏,U+23D8F,eo,zip
𣶶,U+23DB6,ed,coi
𣶷,U+23DB7,ef,daam
𣶸,U+23DB8,el,bing
𣶹,U+23DB9,en,jin
𣶺,U+23DBA,em,ji
𣶻,U+23DBB,ew,dik
𣶼,U+23DBC,eh,fan
𣶽,U+23DBD,ei,wan
𣷣,U+23DE3,eu,gong
𣷸,U+23DF8,eo,zi
𣸆,U+23E06,ep,ci
𣸑,U+23E11,ed,loeng
𣸬,U+23E2C,er,ciu
𣸭,U+23E2D,et,juk
𣸮,U+23E2E,ei,jam
𣸯,U+23E2F,ed,jau
𣸰,U+23E30,eu,jim
𣸱,U+23E31,eu,jyun
𣸹,U+23E39,et,ping
𣺈,U+23E88,er,ji
𣺉,U+23E89,ed,lam
𣺊,U+23E8A,eo,gaa
𣺋,U+23E8B,ew,sin
𣺹,U+23EB9,ev,zin
𣺿,U+23EBF,ej,fung
𣻗,U+23ED7,en,ji
𣻷,U+23EF7,ei,wai
𣻸,U+23EF8,eb,soeng
𣻹,U+23EF9,eg,gin
𣻺,U+23EFA,eg,gei
𣻻,U+23EFB,eu,gun;gwun
𣻼,U+23EFC,eu,hou
𣼵,U+23F35,en,lei
𣽁,U+23F41,eo,zung
𣽊,U+23F4A,er,zeon
𣽡,U+23F61,ei,bok
𣽿,U+23F7F,eg,cing
𣾀,U+23F80,eg,wui
𣾁,U+23F81,ec,kei
𣾂,U+23F82,ea,gaai
𣾏,U+23F8F,er,kei
𣾴,U+23FB4,eo,buk
𣾷,U+23FB7,eb,kiu
𣿀,U+23FC0,ee,pou
𣿅,U+23FC5,eg,dung
𣿫,U+23FEB,em,dip
𣿬,U+23FEC,eg,wui
𣿭,U+23FED,ei,ji
𣿮,U+23FEE,ek,kwai
𣿯,U+23FEF,ee,sam
𣿰,U+23FF0,eu,zeon
𤀑,U+24011,eb,ning;ling
𤀹,U+24039,eu,zeon
𤀺,U+2403A,er,gaa
𤀻,U+2403B,ed,sam
𤀼,U+2403C,ee,luk
𤀽,U+2403D,er,ji
𤁗,U+24057,eb,min
𤂅,U+24085,ei,zing
𤂋,U+2408B,ed,ziu
𤂌,U+2408C,ec,kit
𤂍,U+2408D,ej,lin
𤂑,U+24091,ev,nung;lung
𤃉,U+240C9,ep,lik
𤃡,U+240E1,ec,wing
𤃬,U+240EC,ec,wun
𤄄,U+24104,ef,gau
𤄏,U+2410F,ef,hung
𤄙,U+24119,ex,siu
𤄿,U+2413F,ed,lik
𤅀,U+24140,en,jing
𤅄,U+24144,ec,lim
𤅎,U+2414E,ec,maan;pan
𤅕,U+24155,ei,cau
𤅖,U+24156,ec,pan
𤅗,U+24157,en,jing
𤅜,U+2415C,ei,piu
𤅟,U+2415F,er,lou
𤅡,U+24161,ec,hou
𤅷,U+24177,em,ling
𤅺,U+2417A,ec,jam
𤆣,U+241A3,fe,saap
𤆤,U+241A4,fn,jung
𤆥,U+241A5,fm,wan
𤆬,U+241AC,hf,mou
𤆵,U+241B5,fu,baa
𤇍,U+241CD,if,seot
𤇢,U+241E2,fa,baak
𤇼,U+241FC,fv,on;ngon
𤈛,U+2421B,fu,gwong;gong
𤉋,U+2424B,nf,zing
𤉖,U+24256,fj,ce
𤉙,U+24259,fr,fan
𤉶,U+24276,fb,ngaau;aau
𤉷,U+24277,bf,jin
𤉸,U+24278,fr,geoi
𤊄,U+24284,fc,kei
𤊓,U+24293,fu,ngai;ai
𤊕,U+24295,fd,coi
𤊥,U+242A5,fe,ling
𤊿,U+242BF,fx,cip
𤋁,U+242C1,af,joeng
𤋉,U+242C9,fi,jyun
𤋊,U+242CA,ft,ping
𤋮,U+242EE,sf,hei
𤋺,U+242FA,fc,zing
𤌍,U+2430D,fg,hok
𤌚,U+2431A,fr,wui
𤌴,U+24334,fd,git
𤍈,U+24348,ft,hei
𤍢,U+24362,fg,jim
𤍣,U+24363,fg,kwan
𤍤,U+24364,fj,zoeng
𤍥,U+24365,sf,heoi
𤎌,U+2438C,fg,tong
𤎖,U+24396,fe,hong
𤎜,U+2439C,fb,long
𤎽,U+243BD,fc,gun;gwun
𤏁,U+243C1,ef,hei
𤏩,U+243E9,rf,fan
𤏪,U+243EA,fs,lou
𤏲,U+243F2,fu,zoek
𤏸,U+243F8,fa,zyu
𤐄,U+24404,ff,zin
𤐵,U+24435,fr,gaa
𤐶,U+24436,fo,hou
𤑚,U+2445A,fi,jing
𤑛,U+2445B,ff,fan
𤑳,U+24473,fx,siu
𤒇,U+24487,fd,san
𤒈,U+24488,ff,jin
𤒹,U+244B9,fj,bat
𤒼,U+244BC,if,fong
𤓎,U+244CE,fc,zaan
𤓓,U+244D3,fg,no;lo
𤓖,U+244D6,vf,lyun
𤔅,U+24505,ho,dit
𤔡,U+24521,bf,wai
𤕸,U+24578,vg,zong
𤗈,U+245C8,lv,sip
𤘘,U+24618,hr,hau
𤘪,U+2462A,hy,daan
𤙥,U+24665,hu,hak
𤙴,U+24674,hj,caau
𤚗,U+24697,hm,syun
𤛔,U+246D4,he,maan
𤜆,U+24706,hp,lung
𤜥,U+24725,kk,ji
𤜯,U+2472F,ke,kap
𤞏,U+2478F,kw,si
𤟠,U+247E0,kb,seoi
𤠒,U+24812,kk,si
𤠣,U+24823,kk,hau
𤢂,U+24882,kd,suk
𤣩,U+248E9,mg,juk
𤣰,U+248F0,mg,bou
𤣱,U+248F1,mu,ji
𤣲,U+248F2,mj,seon
𤣳,U+248F3,mj,cin
𤣻,U+248FB,me,mut
𤣿,U+248FF,mt,hoi
𤤀,U+24900,mu,tyun
𤤁,U+24901,ms,fong
𤤌,U+2490C,mn,jung
𤤖,U+24916,mn,fat
𤤗,U+24917,mp,nei;lei
𤤙,U+24919,mt,jai
𤤯,U+2492F,me,wing
𤤳,U+24933,mo,ji
𤤴,U+24934,mi,gok
𤤾,U+2493E,mn,jin
𤤿,U+2493F,ma,baak
𤥀,U+24940,mn,do
𤥁,U+24941,mr,ming
𤥂,U+24942,mc,jik
𤥃,U+24943,mv,on;ngon
𤥢,U+24962,mr,kok
𤥣,U+24963,mu,hak
𤥴,U+24974,mp,zi
𤥵,U+24975,mo,gaap
𤥶,U+24976,ml,naa;laa
𤥻,U+2497B,mm,jin
𤥿,U+2497F,mk,jik
𤦂,U+24982,ii,gwok;gok
𤦈,U+24988,mh,fan
𤦉,U+24989,ag,hyun
𤦊,U+2498A,ma,daap
𤦋,U+2498B,ml,bing
𤦌,U+2498C,mm,ji
𤦍,U+2498D,mb,pui
𤦎,U+2498E,mb,leon
𤦏,U+2498F,mp,fat
𤦔,U+24994,mu,gyun
𤦤,U+249A4,mu,ji
𤦧,U+249A7,mo,zi
𤦩,U+249A9,mm,ok;ngok
𤦫,U+249AB,me,ling
𤦬,U+249AC,mp,nim;lim
𤦭,U+249AD,mb,cing
𤦷,U+249B7,mn,jin
𤦸,U+249B8,md,bou
𤦹,U+249B9,mc,zing
𤦺,U+249BA,mr,kei
𤦻,U+249BB,mu,loeng
𤧅,U+249C5,mt,ping
𤧐,U+249D0,mf,cau
𤧚,U+249DA,mp,cung
𤧞,U+249DE,mk,mei
𤧟,U+249DF,mn,ting
𤧣,U+249E3,mq,gin
𤧥,U+249E5,mi,paak
𤧬,U+249EC,si,wun
𤧭,U+249ED,ms,pong
𤧶,U+249F6,me,haa
𤧷,U+249F7,mv,zin
𤧸,U+249F8,mt,hei
𤧹,U+249F9,mi,ci
𤧻,U+249FB,mg,ting
𤨎,U+24A0E,mo,keoi
𤨒,U+24A12,mp,jan
𤨓,U+24A13,md,caa
𤨕,U+24A15,ms,lak
𤨡,U+24A21,mb,long
𤨢,U+24A22,mo,taan
𤨣,U+24A23,ig,gau
𤨤,U+24A24,mh,zan
𤨥,U+24A25,mr,gei
𤨦,U+24A26,mr,ji
𤨧,U+24A27,mf,piu
𤨨,U+24A28,mk,man
𤨩,U+24A29,mg,sau
𤨪,U+24A2A,md,caan
𤨾,U+24A3E,mp,kwan
𤩂,U+24A42,ms,lou
𤩅,U+24A45,mr,syun
𤩊,U+24A4A,mu,jiu
𤩎,U+24A4E,ma,gaan
𤩏,U+24A4F,mg,cing
𤩐,U+24A50,ml,si
𤩑,U+24A51,mn,hoi
𤩝,U+24A5D,mb,kiu
𤩥,U+24A65,mq,seon
𤩦,U+24A66,mf,git
𤩧,U+24A67,mj,daan
𤩱,U+24A71,si,din
𤩷,U+24A77,mu,syun
𤩸,U+24A78,mk,kwai
𤩹,U+24A79,sg,bik
𤩺,U+24A7A,mi,ji
𤪌,U+24A8C,mf,kei
𤪓,U+24A93,mu,syun
𤪔,U+24A94,mr,gun;gwun
𤪕,U+24A95,mq,mou
𤪖,U+24A96,mk,fai
𤪤,U+24AA4,md,wing
𤪥,U+24AA5,mn,ning;ling
𤪦,U+24AA6,mo,ji
𤪧,U+24AA7,mf,fung
𤪱,U+24AB1,mh,sau
𤪲,U+24AB2,mb,lai
𤪳,U+24AB3,mp,wai
𤪺,U+24ABA,mw,sam
𤪻,U+24ABB,mu,syun
𤪼,U+24ABC,mj,lin
𤫀,U+24AC0,yi,syun
𤫇,U+24AC7,mf,jin
𤫊,U+24ACA,mg,ling
𤫑,U+24AD1,me,haa
𤫟,U+24ADF,mp,lai
𤫢,U+24AE2,mr,lou
𤫩,U+24AE9,mm,ling
𤬏,U+24B0F,lo,lau
𤭮,U+24B6E,hn,cung
𤯵,U+24BF5,fm,jing
𤰉,U+24C09,rq,jung
𤲞,U+24C9E,ow,jyu
𤲟,U+24C9F,wb,cing
𤳉,U+24CC9,wo,hon
𤳙,U+24CD9,wu,jyun
𤴆,U+24D06,wi,cau
𤴓,U+24D13,mo,ngaa;aa;zing;pat
𤶸,U+24DB8,kl,naa;laa
𤷪,U+24DEA,kt,mang
𤷫,U+24DEB,kn,ci
𤸻,U+24E3B,kq,naa;laa
𤹐,U+24E50,kf,lit
𤺥,U+24EA5,kr,daap
𤺧,U+24EA7,ka,zang
𤼎,U+24F0E,kt,mak
𤽜,U+24F5C,hd,mui
𤾂,U+24F82,hu,jyun
𤾆,U+24F86,hu,dau
𤾗,U+24F97,fg,wong
𤾚,U+24F9A,hd,jit
𤾩,U+24FA9,ma,bik
𤾸,U+24FB8,hf,faa
𤿂,U+24FC2,hi,saai
𥀬,U+2502C,me,jim
𥁒,U+25052,vt,ngaau;aau
𥂝,U+2509D,ot,am;ngam
𥄫,U+2512B,be,gap
𥅈,U+25148,bt,laap
𥅽,U+2517D,ou,daap
𥅾,U+2517E,bg,zong
𥇍,U+251CD,bj,coek
𥇣,U+251E3,bu,gwat
𥇦,U+251E6,bl,sik
𥇧,U+251E7,bf,noi;loi
𥈠,U+25220,yu,jeoi
𥈡,U+25221,bf,noi;loi
𥉐,U+25250,bk,hai
𥊙,U+25299,be,zong
𥋇,U+252C7,bq,caang
𥋘,U+252D8,bb,saau
𥌎,U+2530E,bb,seon
𥌑,U+25311,bu,jeoi
𥌓,U+25313,ba,cyu
𥐙,U+25419,mc,paat;baat
𥐥,U+25425,mn,faan
𥐯,U+2542F,mi,taan
𥐰,U+25430,mk,keoi
𥑆,U+25446,mr,gaa
𥑬,U+2546C,mm,caak
𥑮,U+2546E,mr,gu;gwu
𥒚,U+2549A,mk,naau;laau
𥔱,U+25531,mm,sin
𥔵,U+25535,mi,ci
𥔿,U+2553F,mx,ham
𥕛,U+2555B,mg,gei
𥕜,U+2555C,mu,gun;gwun
𥕝,U+2555D,mr,zaat
𥕞,U+2555E,mj,zoeng
𥕢,U+25562,ma,cou
𥕥,U+25565,mr,keoi
𥕦,U+25566,mv,gwan
𥖁,U+25581,mi,zyun
𥖄,U+25584,mo,sin
𥖏,U+2558F,mc,gun;gwun
𥖹,U+255B9,cr,tung
𥗕,U+255D5,mf,jin
𥗛,U+255DB,cr,cin
𥗠,U+255E0,ms,lai
𥘅,U+25605,mv,si
𥘵,U+25635,im,taan
𥙑,U+25651,iu,gwong;gong
𥚃,U+25683,ig,leoi
𥚕,U+25695,ia,coeng
𥛣,U+256E3,ib,daai
𥛶,U+256F6,ir,sin
𥜆,U+25706,mu,lau
𥜝,U+2571D,ic,kit
𥜥,U+25725,ic,zi
𥜽,U+2573D,yb,sit
𥝲,U+25772,hu,wan
𥟇,U+257C7,he,kau
𥟟,U+257DF,ad,muk
𥟠,U+257E0,ha,gaai
𥟡,U+257E1,hf,zung
𥡗,U+25857,hf,maa
𥡝,U+2585D,hl,gim
𥡲,U+25872,hb,jung
𥣈,U+258C8,hd,buk
𥣞,U+258DE,hg,dek
𥣡,U+258E1,hq,leon
𥤃,U+25903,hl,jau
𥥆,U+25946,js,miu
𥥖,U+25956,jr,gu;gwu
𥦬,U+259AC,jn,coeng
𥧌,U+259CC,jd,mei
𥩔,U+25A54,jm,ling
𥪕,U+25A95,yl,bing;cin;sing
𥪜,U+25A9C,yn,ting
𥪮,U+25AAE,yj,zoeng
𥪯,U+25AAF,yu,jiu
𥫩,U+25AE9,hi,zoek
𥭴,U+25B74,hj,san
𥮉,U+25B89,hb,pou
𥮳,U+25BB3,hm,aa;ngaa
𥮴,U+25BB4,hy,dung
𥯆,U+25BC6,hi,sung
𥯤,U+25BE4,hq,wai
𥯨,U+25BE8,hp,si
𥰁,U+25C01,hm,zing
𥰆,U+25C06,hb,dai
𥰡,U+25C21,hk,caak
𥱊,U+25C4A,hb,zik
𥱥,U+25C65,hd,ceoi
𥲑,U+25C91,he,maan
𥲤,U+25CA4,hm,heoi;geoi
𥳀,U+25CC0,hi,wai
𥳁,U+25CC1,hm,geoi
𥳾,U+25CFE,hm,gwan
𥴠,U+25D20,he,zyun
𥴰,U+25D30,hb,zing
𥵃,U+25D43,ht,zaan
𥶙,U+25D99,hp,seoi;wai
𥶹,U+25DB9,hd,zing
𥸎,U+25E0E,hf,tang
𥹉,U+25E49,fe,nap;lap
𥺁,U+25E81,fi,zong
𥺂,U+25E82,fr,gwing
𥺃,U+25E83,fp,zi
𥺦,U+25EA6,fr,dim
𥺼,U+25EBC,fm,aa;ngaa
𥻗,U+25ED7,fm,caa
𥻘,U+25ED8,fv,leon
𥼚,U+25F1A,ff,zoek
𥽋,U+25F4B,fo,cim
𥿡,U+25FE1,vp,nei;lei
𥿢,U+25FE2,vi,wang
𦀡,U+26021,vr,jyu
𦀩,U+26029,ve,dyun
𦁈,U+26048,vm,hung
𦁤,U+26064,vp,nim;lim
𦂃,U+26083,vn,ting
𦂗,U+26097,ff,sok
𦂤,U+260A4,vt,ping
𦂥,U+260A5,ve,dam
𦄂,U+26102,vb,daai
𦄡,U+26121,vs,maan
𦅙,U+26159,vk,man
𦅚,U+2615A,bf,jau
𦅛,U+2615B,vi,cam
𦅜,U+2615C,vn,cyu
𦆭,U+261AD,vn,cyu
𦆮,U+261AE,vk,fai
𦆲,U+261B2,vh,liu
𦇝,U+261DD,vf,jing
𦉘,U+26258,oh,caang
𦉡,U+26261,oi,taam
𦉪,U+2626A,bc,mong;sei
𦉫,U+2626B,bl,ming
𦋐,U+262D0,bj,coek
𦌵,U+26335,ww,leoi
𦍋,U+2634B,tq,me
𦍌,U+2634C,tg,jam
𦍑,U+26351,ti,goeng
𦎾,U+263BE,tq,sai
𦏵,U+263F5,sp,jik
𦏸,U+263F8,sd,jai
𦐂,U+26402,si,jik
𦐐,U+26410,sk,man
𦐑,U+26411,ym,ci
𦐒,U+26412,st,ngai;ai
𦑊,U+2644A,sb,zing
𦑩,U+26469,sj,fai
𦒄,U+26484,sm,wai
𦒈,U+26488,om,si
𦒉,U+26489,fa,jap
𦒍,U+2648D,ym,tung
𦒘,U+26498,mm,cin
𦔒,U+26512,qi,zi
𦕲,U+26572,sr,gaap
𦖠,U+265A0,sf,sim
𦖭,U+265AD,sn,jyu
𦖿,U+265BF,sr,dap
𦘒,U+26612,lj,nip;lip
𦘦,U+26626,iq,siu
𦚯,U+266AF,lu,jan
𦚱,U+266B1,bp,lou
𦚵,U+266B5,bw,sai
𦛚,U+266DA,br,nam;lam
𦛨,U+266E8,bs,lou
𦛼,U+266FC,bc,bing
𦜖,U+26716,bm,ngaa;aa
𦝁,U+26741,bc,kei
𦞙,U+26799,bi,deoi
𦞳,U+267B3,br,jung
𦞴,U+267B4,bu,jim
𦟌,U+267CC,bv,zin
𦠜,U+2681C,bj,jip
𦡆,U+26846,bu,fat
𦡞,U+2685E,bf,gam
𦡮,U+2686E,ba,pou
𦢈,U+26888,bb,ji
𦢊,U+2688A,be,pok
𦢓,U+26893,bg,mak
𦣇,U+268C7,bg,lo
𦤎,U+2690E,hm,gou
𦤑,U+26911,hq,gou
𦤦,U+26926,hv,hot
𦤹,U+26939,mf,zi
𦥑,U+26951,hx,guk
𦦨,U+269A8,bf,jim
𦦵,U+269B5,hi,cung
𦧲,U+269F2,hf,loe
𦧺,U+269FA,hc,laai
𦨭,U+26A2D,he,pei
𦨮,U+26A2E,hp,doi
𦨴,U+26A34,hr,tung
𦩂,U+26A42,ho,syun
𦩑,U+26A51,ho,loi
𦩒,U+26A52,hm,aa;ngaa
𦬅,U+26B05,tr,kau
𦬊,U+26B0A,tu,zi
𦬓,U+26B13,tu,jau
𦬕,U+26B15,tl,zung
𦬣,U+26B23,te,mong
𦬨,U+26B28,to,cek
𦭐,U+26B50,ty,cik
𦭑,U+26B51,tn,ting
𦭒,U+26B52,tm,zing
𦭓,U+26B53,tt,sai
𦭛,U+26B5B,tj,cin
𦭵,U+26B75,tq,joeng
𦮂,U+26B82,ta,si
𦮖,U+26B96,to,jau
𦮗,U+26B97,tv,naam;laam
𦮝,U+26B9D,tv,mong
𦮳,U+26BB3,tm,kei
𦯀,U+26BC0,tg,ban
𦯷,U+26BF7,th,miu
𦰡,U+26C21,tl,naa;laa
𦱀,U+26C40,tb,juk
𦱁,U+26C41,ti,jin
𦱆,U+26C46,tp,to;taa
𦱾,U+26C7E,tj,ping
𦱿,U+26C7F,tk,diu
𦲀,U+26C80,tr,ji
𦲁,U+26C81,tp,nei;lei
𦲂,U+26C82,ti,geoi
𦲤,U+26CA4,tv,ji
𦲷,U+26CB7,tt,lei
𦲸,U+26CB8,tb,jyu
𦲽,U+26CBD,to,jan
𦳀,U+26CC0,td,mui
𦳃,U+26CC3,tl,ce
𦳑,U+26CD1,td,mau
𦴢,U+26D22,tp,ci
𦴣,U+26D23,tv,ji
𦴤,U+26D24,tk,jing
𦴥,U+26D25,ta,seon
𦴦,U+26D26,tr,haak
𦴧,U+26D27,to,fei
𦴨,U+26D28,tr,kwan
𦴩,U+26D29,tr,seon
𦴪,U+26D2A,tp,nei;lei
𦵑,U+26D51,ti,geoi
𦵴,U+26D74,td,git
𦶠,U+26DA0,tv,gan
𦶡,U+26DA1,tr,hou
𦶢,U+26DA2,tn,hong
𦶣,U+26DA3,tf,lit
𦶤,U+26DA4,tu,jyun
𦶥,U+26DA5,ti,ngo;o
𦶦,U+26DA6,tl,no;lo
𦶧,U+26DA7,tv,gwan
𦶮,U+26DAE,ti,wan
𦷜,U+26DDC,te,haa
𦷪,U+26DEA,tv,seoi
𦷫,U+26DEB,ty,hoi
𦷰,U+26DF0,td,fau
𦸀,U+26E00,tg,kei
𦸅,U+26E05,tv,kau
𦸇,U+26E07,tn,seot
𦸒,U+26E12,tr,ji
𦹂,U+26E42,td,bou
𦹃,U+26E43,tr,fau
𦹄,U+26E44,tr,siu
𦹅,U+26E45,tu,jyun
𦹮,U+26E6E,th,coi
𦹲,U+26E72,tp,wan
𦹷,U+26E77,tr,pui
𦺄,U+26E84,tl,hing
𦺈,U+26E88,tc,syun
𦺋,U+26E8B,te,sou;sau
𦺙,U+26E99,tq,lai
𦻐,U+26ED0,tj,zaau
𦻑,U+26ED1,te,wing
𦻒,U+26ED2,ti,mou
𦻓,U+26ED3,tg,cing
𦻔,U+26ED4,tk,fei
𦻕,U+26ED5,tp,jan
𦻖,U+26ED6,ta,hyun
𦻗,U+26ED7,tg,zeon
𦼦,U+26F26,tt,sing
𦽳,U+26F73,tp,jyu
𦽴,U+26F74,tb,zing
𦾟,U+26F9F,tt,zaan
𦾡,U+26FA1,tk,mei
𦾾,U+26FBE,tu,jiu
𦿞,U+26FDE,tp,cung
𦿟,U+26FDF,tr,ji
𧀎,U+2700E,tb,gou
𧁋,U+2704B,tp,man
𧁒,U+27052,te,joeng
𧁓,U+27053,tv,nung;lung
𧂈,U+27088,td,ziu
𧂭,U+270AD,ti,nau;lau
𧂮,U+270AE,td,zing
𧂯,U+270AF,tt,wan
𧃍,U+270CD,te,kwai
𧃒,U+270D2,tv,leoi
𧃰,U+270F0,te,kwai
𧃸,U+270F8,tk,fai
𧄉,U+27109,tp,zung
𧄌,U+2710C,to,dan
𧄍,U+2710D,tm,kiu
𧄦,U+27126,te,fuk
𧄧,U+27127,tt,wan
𧅤,U+27164,tc,bou
𧅥,U+27165,ta,hing
𧅵,U+27175,tj,pan
𧇍,U+271CD,ou,haa
𧈛,U+2721B,ou,si
𧉧,U+27267,li,heoi;gip
𧊀,U+27280,lr,gaa
𧊅,U+27285,ls,gwaai
𧊋,U+2728B,ll,san
𧊲,U+272B2,lg,cyun
𧊶,U+272B6,ld,doe
𧋦,U+272E6,lu,mei
𧍒,U+27352,lb,cyun;ceoi
𧎚,U+2739A,le,haa
𧏿,U+273FF,lo,zuk
𧐢,U+27422,lu,hou
𧑐,U+27450,lb,jyut;wat
𧒄,U+27484,la,gaan
𧒆,U+27486,li,zyun
𧕴,U+27574,ti,naan;laan
𧖣,U+275A3,li,maan
𧗠,U+275E0,hn,jin
𧗤,U+275E4,hn,hon
𧗽,U+275FD,hn,hang
𧗾,U+275FE,hn,hang
𧘇,U+27607,hv,
𧘌,U+2760C,ls,jing
𧘲,U+27632,lm,zi
𧘹,U+27639,li,taai
𧙕,U+27655,ld,mei
𧙖,U+27656,lr,wu
𧙗,U+27657,lr,jau
𧚔,U+27694,lb,tung
𧜏,U+2770F,yv,pui
𧜵,U+27735,lb,daai
𧜶,U+27736,lg,gin
𧝁,U+27741,lm,hyun
𧝞,U+2775E,li,gei
𧞄,U+27784,ls,jyut
